time,drone_x,drone_y,drone_z,target_x,target_y,target_z,error_x,error_y,error_z,position_error,pixel_x,pixel_y,target_radius_px,image_center_x,image_center_y,pixel_error_x,pixel_error_y,vx_command,vz_command,yaw_rate_command,commanded_yaw,tracking_state
2.402418613433838,-3.864377562316043e-25,6.867394863885855e-22,1.00000197767458,0.0,0.0,1.0,3.864377562316043e-25,-6.867394863885855e-22,-1.9776745801003415e-06,1.9776745801003415e-06,,,,160.0,120.0,,,0.0,0.0,0.6,0.012500000000000178,SEARCHING
2.6746439933776855,-2.9704904657144134e-23,1.3720606589551486e-20,1.0000044924259293,0.0,0.0,1.0,2.9704904657144134e-23,-1.3720606589551486e-20,-4.492425929258914e-06,4.492425929258914e-06,,,,160.0,120.0,,,0.0,0.0,0.6,0.025000000000000355,SEARCHING
2.786137819290161,-1.603080458823119e-22,5.372671613408068e-20,1.0000068364278787,0.0,0.0,1.0,1.603080458823119e-22,-5.372671613408068e-20,-6.83642787868699e-06,6.83642787868699e-06,,,,160.0,120.0,,,0.0,0.0,0.6,0.03750000000000053,SEARCHING
2.8913328647613525,-3.930782861391403e-22,1.2161356455838298e-19,1.0000116689632497,0.0,0.0,1.0,3.930782861391403e-22,-1.2161356455838298e-19,-1.166896324966693e-05,1.166896324966693e-05,,,,160.0,120.0,,,0.0,0.0,0.6,0.05000000000000071,SEARCHING
2.999666690826416,-2.0277217317995274e-21,2.1182021602485834e-19,1.000016571260054,0.0,0.0,1.0,2.0277217317995274e-21,-2.1182021602485834e-19,-1.6571260053943604e-05,1.6571260053943604e-05,,,,160.0,120.0,,,0.0,0.0,0.6,0.06250000000000089,SEARCHING
3.1001291275024414,-2.542981021682559e-20,4.03937854939505e-19,1.000024343800842,0.0,0.0,1.0,2.542981021682559e-20,-4.03937854939505e-19,-2.4343800842041574e-05,2.4343800842041574e-05,,,,160.0,120.0,,,0.0,0.0,0.6,0.07500000000000107,SEARCHING
3.215365171432495,-1.0420876266741101e-20,6.575827875119573e-19,1.0000352315442007,0.0,0.0,1.0,1.0420876266741101e-20,-6.575827875119573e-19,-3.523154420070895e-05,3.523154420070895e-05,,,,160.0,120.0,,,0.0,0.0,0.6,0.08750000000000124,SEARCHING
3.3267927169799805,5.960719406612804e-20,8.163852025142906e-19,1.0000468860729363,0.0,0.0,1.0,-5.960719406612804e-20,-8.163852025142906e-19,-4.688607293634739e-05,4.688607293634739e-05,,,,160.0,120.0,,,0.0,0.0,0.6,0.10000000000000142,SEARCHING
3.4398701190948486,8.835465346399972e-20,1.1022886775979877e-18,1.0000644684708224,0.0,0.0,1.0,-8.835465346399972e-20,-1.1022886775979877e-18,-6.44684708224208e-05,6.44684708224208e-05,,,,160.0,120.0,,,0.0,0.0,0.6,0.1125000000000016,SEARCHING
3.536966562271118,2.90585484724114e-19,1.3816641571716834e-18,1.0000805483828674,0.0,0.0,1.0,-2.90585484724114e-19,-1.3816641571716834e-18,-8.054838286741806e-05,8.054838286741806e-05,,,,160.0,120.0,,,0.0,0.0,0.6,0.12500000000000178,SEARCHING
3.6501474380493164,5.790320897348499e-19,1.450228025803556e-18,1.0000982200793358,0.0,0.0,1.0,-5.790320897348499e-19,-1.450228025803556e-18,-9.82200793357979e-05,9.82200793357979e-05,,,,160.0,120.0,,,0.0,0.0,0.6,0.13750000000000195,SEARCHING
3.75974440574646,7.428424192518365e-19,1.907507478717547e-18,1.0001138866263208,0.0,0.0,1.0,-7.428424192518365e-19,-1.907507478717547e-18,-0.00011388662632083602,0.00011388662632083602,,,,160.0,120.0,,,0.0,0.0,0.6,0.15000000000000213,SEARCHING
3.879011392593384,1.3239597696469122e-18,2.099390514633718e-18,1.00013076961779,0.0,0.0,1.0,-1.3239597696469122e-18,-2.099390514633718e-18,-0.00013076961778990537,0.00013076961778990537,,,,160.0,120.0,,,0.0,0.0,0.6,0.1625000000000023,SEARCHING
3.9853813648223877,1.750640119033032e-18,1.951455620900637e-18,1.0001448889623443,0.0,0.0,1.0,-1.750640119033032e-18,-1.951455620900637e-18,-0.00014488896234432502,0.00014488896234432502,,,,160.0,120.0,,,0.0,0.0,0.6,0.1750000000000025,SEARCHING
4.089197874069214,1.8372873094433974e-18,2.868144912166699e-18,1.0001599170480233,0.0,0.0,1.0,-1.8372873094433974e-18,-2.868144912166699e-18,-0.00015991704802331697,0.00015991704802331697,,,,160.0,120.0,,,0.0,0.0,0.6,0.18750000000000266,SEARCHING
4.19167160987854,2.85524017020436e-18,2.557695136824201e-18,1.000172077644151,0.0,0.0,1.0,-2.85524017020436e-18,-2.557695136824201e-18,-0.0001720776441509475,0.0001720776441509475,,,,160.0,120.0,,,0.0,0.0,0.6,0.20000000000000284,SEARCHING
4.397295713424683,3.1579383255805143e-18,1.959937955395332e-18,1.0001851931842964,0.0,0.0,1.0,-3.1579383255805143e-18,-1.959937955395332e-18,-0.00018519318429643938,0.00018519318429643938,,,,160.0,120.0,,,0.0,0.0,0.6,0.21250000000000302,SEARCHING
4.516618490219116,3.849306875473696e-18,3.474278486064285e-18,1.000196229423335,0.0,0.0,1.0,-3.849306875473696e-18,-3.474278486064285e-18,-0.00019622942333508142,0.00019622942333508142,,,,160.0,120.0,,,0.0,0.0,0.6,0.2250000000000032,SEARCHING
4.631931781768799,6.898838219387859e-18,1.0208894340848079e-18,1.0002085399262395,0.0,0.0,1.0,-6.898838219387859e-18,-1.0208894340848079e-18,-0.0002085399262394816,0.0002085399262394816,,,,160.0,120.0,,,0.0,0.0,0.6,0.23750000000000338,SEARCHING
4.72547173500061,7.758204963341171e-18,4.2378123905825385e-19,1.0002269700715436,0.0,0.0,1.0,-7.758204963341171e-18,-4.2378123905825385e-19,-0.00022697007154359738,0.00022697007154359738,,,,160.0,120.0,,,0.0,0.0,0.6,0.25000000000000355,SEARCHING
4.820531129837036,1.2562099035550675e-17,3.892551746355855e-18,1.0002422525399015,0.0,0.0,1.0,-1.2562099035550675e-17,-3.892551746355855e-18,-0.00024225253990151074,0.00024225253990151074,,,,160.0,120.0,,,0.0,0.0,0.6,0.26250000000000373,SEARCHING
4.922484874725342,2.0696194057481637e-17,-2.391191934045963e-18,1.0002574613673991,0.0,0.0,1.0,-2.0696194057481637e-17,2.391191934045963e-18,-0.0002574613673991255,0.0002574613673991255,,,,160.0,120.0,,,0.0,0.0,0.6,0.2750000000000039,SEARCHING
5.04049277305603,2.0692307798446656e-17,2.4241767240003097e-18,1.0002742228197057,0.0,0.0,1.0,-2.0692307798446656e-17,-2.4241767240003097e-18,-0.00027422281970568285,0.00027422281970568285,,,,160.0,120.0,,,0.0,0.0,0.6,0.2875000000000041,SEARCHING
5.153292894363403,2.88828243240939e-17,1.0687982312200373e-17,1.0002924337407915,0.0,0.0,1.0,-2.88828243240939e-17,-1.0687982312200373e-17,-0.00029243374079146456,0.00029243374079146456,,,,160.0,120.0,,,0.0,0.0,0.6,0.30000000000000426,SEARCHING
5.253889560699463,3.077477681399463e-17,-4.611980357124883e-18,1.0003128248690099,0.0,0.0,1.0,-3.077477681399463e-17,4.611980357124883e-18,-0.0003128248690098534,0.0003128248690098534,,,,160.0,120.0,,,0.0,0.0,0.25,0.30520833333333774,SEARCHING
5.346921920776367,1.4231120189824583e-17,1.1034172707918939e-17,1.0003332200919237,0.0,0.0,1.0,-1.4231120189824583e-17,-1.1034172707918939e-17,-0.0003332200919237138,0.0003332200919237138,,,,160.0,120.0,,,0.0,0.0,0.25,0.3104166666666712,SEARCHING
5.444820880889893,2.2527235512644142e-17,7.701475688997332e-18,1.0003461271484622,0.0,0.0,1.0,-2.2527235512644142e-17,-7.701475688997332e-18,-0.00034612714846216086,0.00034612714846216086,,,,160.0,120.0,,,0.0,0.0,0.25,0.3156250000000047,SEARCHING
5.538432836532593,8.17445134178032e-18,-3.883713564932424e-17,1.0003572031294614,0.0,0.0,1.0,-8.17445134178032e-18,3.883713564932424e-17,-0.0003572031294614142,0.0003572031294614142,,,,160.0,120.0,,,0.0,0.0,0.25,0.3208333333333382,SEARCHING
5.632184982299805,-1.319608915717993e-17,2.2297600965929777e-18,1.0003676016188199,0.0,0.0,1.0,1.319608915717993e-17,-2.2297600965929777e-18,-0.0003676016188198794,0.0003676016188198794,,,,160.0,120.0,,,0.0,0.0,0.25,0.32604166666667167,SEARCHING
5.725453853607178,4.213111623967038e-17,-3.263936091875959e-17,1.0003787764891978,0.0,0.0,1.0,-4.213111623967038e-17,3.263936091875959e-17,-0.0003787764891978185,0.0003787764891978185,,,,160.0,120.0,,,0.0,0.0,0.25,0.33125000000000515,SEARCHING
5.825529098510742,4.063410148031632e-17,-8.69455116716934e-17,1.0003930256472866,0.0,0.0,1.0,-4.063410148031632e-17,8.69455116716934e-17,-0.0003930256472866045,0.0003930256472866045,,,,160.0,120.0,,,0.0,0.0,0.25,0.33645833333333863,SEARCHING
5.9343414306640625,4.01755830578216e-17,7.316502047124019e-17,1.0004088928452453,0.0,0.0,1.0,-4.01755830578216e-17,-7.316502047124019e-17,-0.0004088928452452567,0.0004088928452452567,,,,160.0,120.0,,,0.0,0.0,0.25,0.3416666666666721,SEARCHING
6.030850410461426,1.4390604811585148e-16,-2.2513092695786795e-17,1.000425440230825,0.0,0.0,1.0,-1.4390604811585148e-16,2.2513092695786795e-17,-0.0004254402308250249,0.0004254402308250249,,,,160.0,120.0,,,0.0,0.0,0.25,0.3468750000000056,SEARCHING
6.137834310531616,-1.912817526218964e-18,-5.326891853848243e-17,1.0004420709693789,0.0,0.0,1.0,1.912817526218964e-18,5.326891853848243e-17,-0.0004420709693788716,0.0004420709693788716,,,,160.0,120.0,,,0.0,0.0,0.25,0.3520833333333391,SEARCHING
6.230700969696045,-1.783451829410408e-16,2.5500637792251364e-16,1.0004566957753565,0.0,0.0,1.0,1.783451829410408e-16,-2.5500637792251364e-16,-0.00045669577535645267,0.00045669577535645267,,,,160.0,120.0,,,0.0,0.0,0.25,0.35729166666667256,SEARCHING
6.34517240524292,-1.399051157274239e-16,-2.1309133485311327e-16,1.0004703449718841,0.0,0.0,1.0,1.399051157274239e-16,2.1309133485311327e-16,-0.00047034497188414015,0.00047034497188414015,,,,160.0,120.0,,,0.0,0.0,0.25,0.36250000000000604,SEARCHING
6.450914144515991,-7.091187209487259e-16,-2.4927685999021596e-16,1.0004842497852549,0.0,0.0,1.0,7.091187209487259e-16,2.4927685999021596e-16,-0.0004842497852548533,0.0004842497852548533,,,,160.0,120.0,,,0.0,0.0,0.25,0.3677083333333395,SEARCHING
6.552053451538086,-7.696468490752059e-16,1.9890950388426566e-16,1.0004980261497396,0.0,0.0,1.0,7.696468490752059e-16,-1.9890950388426566e-16,-0.0004980261497395944,0.0004980261497395944,,,,160.0,120.0,,,0.0,0.0,0.25,0.372916666666673,SEARCHING
6.644446134567261,3.680572676286127e-17,-1.1790844391274345e-15,1.0005114377073436,0.0,0.0,1.0,-3.680572676286127e-17,1.1790844391274345e-15,-0.0005114377073436316,0.0005114377073436316,,,,160.0,120.0,,,0.0,0.0,0.25,0.3781250000000065,SEARCHING
6.74093222618103,-5.240538087164817e-16,-4.655086132268614e-16,1.000524344656495,0.0,0.0,1.0,5.240538087164817e-16,4.655086132268614e-16,-0.0005243446564950904,0.0005243446564950904,,,,160.0,120.0,,,0.0,0.0,0.25,0.38333333333333997,SEARCHING
6.824511289596558,1.2636856840324765e-15,7.745683206166157e-16,1.0005366700236333,0.0,0.0,1.0,-1.2636856840324765e-15,-7.745683206166157e-16,-0.0005366700236333344,0.0005366700236333344,,,,160.0,120.0,,,0.0,0.0,0.25,0.38854166666667345,SEARCHING
6.91692590713501,3.0711994581964127e-15,-1.693313085252458e-15,1.000548377439812,0.0,0.0,1.0,-3.0711994581964127e-15,1.693313085252458e-15,-0.0005483774398120644,0.0005483774398120644,,,,160.0,120.0,,,0.0,0.0,0.25,0.39375000000000693,SEARCHING
7.004548072814941,-1.630869194555149e-16,2.806156688697433e-15,1.0005587250083223,0.0,0.0,1.0,1.630869194555149e-16,-2.806156688697433e-15,-0.000558725008322325,0.000558725008322325,,,,160.0,120.0,,,0.0,0.0,0.25,0.3989583333333404,SEARCHING
7.097127437591553,2.257277112023242e-15,4.187246787465597e-15,1.0005682542301855,0.0,0.0,1.0,-2.257277112023242e-15,-4.187246787465597e-15,-0.000568254230185472,0.000568254230185472,,,,160.0,120.0,,,0.0,0.0,0.25,0.4041666666666739,SEARCHING
7.190184831619263,-1.9959950103451407e-15,-2.9474782728521686e-15,1.0005775614994292,0.0,0.0,1.0,1.9959950103451407e-15,2.9474782728521686e-15,-0.0005775614994292244,0.0005775614994292244,,,,160.0,120.0,,,0.0,0.0,0.25,0.40937500000000737,SEARCHING
7.2854955196380615,-1.2847552750448217e-14,6.444480093802439e-15,1.0005865342569318,0.0,0.0,1.0,1.2847552750448217e-14,-6.444480093802439e-15,-0.0005865342569317811,0.0005865342569317811,,,,160.0,120.0,,,0.0,0.0,0.25,0.41458333333334085,SEARCHING
7.377074480056763,-3.3225380823701185e-15,-4.1765169472350504e-15,1.000595109111227,0.0,0.0,1.0,3.3225380823701185e-15,4.1765169472350504e-15,-0.0005951091112270657,0.0005951091112270657,,,,160.0,120.0,,,0.0,0.0,0.25,0.41979166666667433,SEARCHING
7.469125270843506,-1.0775058220611742e-14,-2.1237728482405254e-14,1.0006032545094103,0.0,0.0,1.0,1.0775058220611742e-14,2.1237728482405254e-14,-0.0006032545094103448,0.0006032545094103448,,,,160.0,120.0,,,0.0,0.0,0.25,0.4250000000000078,SEARCHING
7.56967568397522,-6.705801260812513e-15,7.288717569159464e-15,1.0006109593278543,0.0,0.0,1.0,6.705801260812513e-15,-7.288717569159464e-15,-0.0006109593278542658,0.0006109593278542658,,,,160.0,120.0,,,0.0,0.0,0.25,0.4302083333333413,SEARCHING
7.664218187332153,3.783866798485374e-14,-1.913564647287563e-14,1.000618225370999,0.0,0.0,1.0,-3.783866798485374e-14,1.913564647287563e-14,-0.0006182253709989816,0.0006182253709989816,,,,160.0,120.0,,,0.0,0.0,0.25,0.4354166666666748,SEARCHING
7.765050172805786,2.056606949568985e-14,-8.250775323416663e-15,1.0006250624495272,0.0,0.0,1.0,-2.056606949568985e-14,8.250775323416663e-15,-0.0006250624495272028,0.0006250624495272028,,,,160.0,120.0,,,0.0,0.0,0.25,0.44062500000000826,SEARCHING
7.868625164031982,3.641420559656151e-14,8.04153842085923e-14,1.000631485160388,0.0,0.0,1.0,-3.641420559656151e-14,-8.04153842085923e-14,-0.0006314851603879124,0.0006314851603879124,,,,160.0,120.0,,,0.0,0.0,0.25,0.44583333333334174,SEARCHING
